date,date,open,high,low,close,volume
2020-12-23,2020-12-23,9910.711,10068.624,9910.711,9990.146,2769834140
2020-12-24,2020-12-24,10007.075,10042.713,9956.401,10002.657,2304092793
2020-12-25,2020-12-25,9961.676,10067.186,9923.488,10054.522,1932847090
2020-12-28,2020-12-28,10059.489,10188.867,10045.707,10132.151,2166868696
2020-12-29,2020-12-29,10150.767,10162.45,10072.924,10087.314,2612035033
2020-12-30,2020-12-30,10075.559,10215.154,10070.432,10214.668,3148683478
2020-12-31,2020-12-31,10216.81,10428.853,10216.81,10416.76,2874822979
2021-01-04,2021-01-04,10396.923,10534.937,10382.797,10507.947,3701561018
2021-01-05,2021-01-05,10465.836,10756.398,10433.246,10752.365,4338118776
2021-01-06,2021-01-06,10779.899,10904.857,10709.937,10863.808,3472255868
2021-01-07,2021-01-07,10912.984,11084.414,10899.269,11084.369,3823960077
2021-01-08,2021-01-08,11096.748,11144.305,10913.0,11034.362,3684140495
2021-01-11,2021-01-11,11057.777,11218.881,10939.697,10999.944,4259813752
2021-01-12,2021-01-12,10971.839,11312.715,10966.062,11312.397,4254634508
2021-01-13,2021-01-13,11341.875,11420.286,11209.925,11304.565,4924633294
2021-01-14,2021-01-14,11268.013,11283.349,11034.172,11065.235,5024671479
2021-01-15,2021-01-15,11073.972,11119.786,10880.983,11024.054,5115173028
2021-01-18,2021-01-18,10976.368,11121.354,10917.486,11070.383,4257040889
2021-01-19,2021-01-19,11098.055,11133.708,10874.524,10914.671,4152072890
2021-01-20,2021-01-20,10923.547,10986.282,10865.312,10931.377,3183008059
2021-01-21,2021-01-21,10965.69,11161.51,10953.03,11096.43,3794232582
2021-01-22,2021-01-22,11094.44,11136.855,11000.816,11099.968,3201100272
2021-01-25,2021-01-25,11102.894,11327.652,11027.848,11285.126,3172730193
2021-01-26,2021-01-26,11223.134,11223.134,11042.787,11065.413,2937311344
2021-01-27,2021-01-27,11065.08,11130.029,10935.845,11124.378,2878311075
2021-01-28,2021-01-28,10970.521,10990.797,10769.093,10816.322,3425254147
2021-01-29,2021-01-29,10886.708,10919.163,10693.348,10793.202,3723465977
